1	3	5
6	5	3
6	10	14
15	14	10
15	21	27
28	27	21
28	36	44
45	44	36
1	5	2
6	9	5
6	14	9
15	20	14
15	27	20
28	35	27
28	44	35
45	53	44
4	2	5
13	5	9
13	9	14
26	14	20
26	20	27
43	27	35
43	35	44
60	44	53
4	5	8
13	8	5
13	14	19
26	19	14
26	27	34
43	34	27
43	44	52
60	52	44
4	8	12
13	12	8
13	19	25
26	25	19
26	34	42
43	42	34
43	52	59
60	59	52
4	12	7
13	18	12
13	25	18
26	33	25
26	42	33
43	51	42
43	59	51
60	66	59
11	7	12
24	12	18
24	18	25
41	25	33
41	33	42
58	42	51
58	51	59
71	59	66
11	12	17
24	17	12
24	25	32
41	32	25
41	42	50
58	50	42
58	59	65
71	65	59
11	17	23
24	23	17
24	32	40
41	40	32
41	50	57
58	57	50
58	65	70
71	70	65
11	23	16
24	31	23
24	40	31
41	49	40
41	57	49
58	64	57
58	70	64
71	75	70
22	16	23
39	23	31
39	31	40
56	40	49
56	49	57
69	57	64
69	64	70
78	70	75
22	23	30
39	30	23
39	40	48
56	48	40
56	57	63
69	63	57
69	70	74
78	74	70
22	30	38
39	38	30
39	48	55
56	55	48
56	63	68
69	68	63
69	74	77
78	77	74
22	38	29
39	47	38
39	55	47
56	62	55
56	68	62
69	73	68
69	77	73
78	80	77
37	29	38
54	38	47
54	47	55
67	55	62
67	62	68
76	68	73
76	73	77
81	77	80
37	38	46
54	46	38
54	55	61
67	61	55
67	68	72
76	72	68
76	77	79
81	79	77
